original_name,canonical_name,num_similar
CLAUDIA U. MARKUS SCHARTING,CLAUDIA U. MARKUS SCHARTING,1
CLAUDIUS PUTZAR,CLAUDIUS PUTZAR,1
CLAUS EBERLEIN - SANITÄR UND HEIZUNG GMBH,CLAUS EBERLEIN - SANITÄR UND HEIZUNG GMBH,1
CLEMENS GEYER,CLEMENS GEYER,1
CLERA MAYERSHOFER GMBH & CO. KG,CLERA MAYERSHOFER GMBH & CO. KG,1
CLOUSET,CLOUSET,1
COMPTOIR DES FERS ET METAUX S.A.,COMPTOIR DES FERS ET METAUX S.A.,1
CONSTAR GMBH,CONSTAR GMBH,1
CONTI SANITÄRARMATUREN GMBH,CONTI SANITÄRARMATUREN GMBH,1
COOL HEATING GERMANY GMBH & CO KG,COOL HEATING GERMANY GMBH & CO KG,1
CORDES & GRAEFE,CORDES & GRAEFE,1
CORDES & GRAEFE BREMEN KG,CORDES & GRAEFE BREMEN KG,1
CORDES & GRAEFE EMDEN KG,CORDES & GRAEFE EMDEN KG,1
CORDES & GRAEFE HAUS STADE,CORDES & GRAEFE HAUS STADE,1
CORDES & GRAEFE KG,CORDES & GRAEFE KG,1
CORDES & GRAEFE OSNABRÜCK KG,CORDES & GRAEFE OSNABRÜCK KG,1
CORDES & GRAEFE STADE KG,CORDES & GRAEFE STADE KG,1
CT CLIMATEAM GMBH & CO KG,CT CLIMATEAM GMBH & CO KG,1
CTN.ENERGIE,CTN.ENERGIE,1
D&N DRUCKLUFTTECHNIK GMBH & CO. KG,D&N DRUCKLUFTTECHNIK GMBH & CO. KG,1
D. WENZEL SANITÄR UND HEIZUNG,D. WENZEL SANITÄR UND HEIZUNG,1
D.F.LIEDELT GMBH,D.F.LIEDELT GMBH,1
DACH- UND HAUSTECHNIK HILGERT,DACH- UND HAUSTECHNIK HILGERT,1
"DAGES, HUBER & SCHILDBACH OHG","DAGES, HUBER & SCHILDBACH OHG",1
DAHL GMBH & CO. KG,DAHL GMBH & CO. KG,1
DALM SP. Z O.O. SP.K.,DALM SP. Z O.O. SP.K.,1
DANIEL FACKERT GMBH,DANIEL FACKERT GMBH,1
DANIEL GATTNAR MEISTERBETRIEB,DANIEL GATTNAR MEISTERBETRIEB,1
DANIEL HILTNER,DANIEL HILTNER,1
DANIEL MICHEL,DANIEL MICHEL,1
DANNY RUHNKE,DANNY RUHNKE,1
DAS DUO,DAS DUO,1
DAS FEINE BAD,DAS FEINE BAD,1
DASA GMBH,DASA GMBH,1
DAU GMBH & CO. KG,DAU GMBH & CO. KG,1
DAUBNER HEIZUNG UND SANITÄR,DAUBNER HEIZUNG UND SANITÄR,1
DAUME GMBH,DAUME GMBH,1
DAUS GMBH,DAUS GMBH,1
DAVID GRIMM SANITÄR UND HEIZUNGSTECHNIK - INKASSO,DAVID GRIMM SANITÄR UND HEIZUNGSTECHNIK - INKASSO,1
DE LIEBLS HAUSVERWALTUNG,DE LIEBLS HAUSVERWALTUNG,1
"DEAK KÄLTE, KLIMA, LÜFTUNGSTECHNIK GMBH &CO. KG","DEAK KÄLTE, KLIMA, LÜFTUNGSTECHNIK GMBH &CO. KG",1
DEGENHART EISENHANDEL,DEGENHART EISENHANDEL,1
DEGLER HAUSTECHNIK GMBH,DEGLER HAUSTECHNIK GMBH,1
DEHNE GMBH,DEHNE GMBH,1
DEINZER + WEYLAND GMBH,DEINZER + WEYLAND GMBH,1
DEISS WOLFGANG,DEISS WOLFGANG,1
DEL AMO SHK,DEL AMO SHK,1
DEMHEB GMBH,DEMHEB GMBH,1
DENNE HUBERT,DENNE HUBERT,1
DENNIS KRÄMER,DENNIS KRÄMER,1
DENNIS REHSE,DENNIS REHSE,1
DENTLER ANTON INH. KLAUS ZIMMERMANN,DENTLER ANTON INH. KLAUS ZIMMERMANN,1
DENTLER GMBH,DENTLER GMBH,1
DER INSTALLATÖR GMBH & CO.,DER INSTALLATÖR GMBH & CO.,1
DER LECKFINDER,DER LECKFINDER,1
DERIA MULTIPRESS GMBH,DERIA MULTIPRESS GMBH,1
DEUBER GMBH,DEUBER GMBH,1
DEURER GMBH & CO. KG,DEURER GMBH & CO. KG,1
DEUTSCHE REIHENHAUS AG,DEUTSCHE REIHENHAUS AG,1
DEUTSCHE RENTENVERSICHERUNG,DEUTSCHE RENTENVERSICHERUNG,1
DEUTSCHE STIFTUNG DENKMALSCHUTZ PRINZENHAUS,DEUTSCHE STIFTUNG DENKMALSCHUTZ PRINZENHAUS,1
DEUTSCHES ZENTRUM FÜR NEURODEGENERATIVE ERKRANKUNGEN E. V. (DZNE),DEUTSCHES ZENTRUM FÜR NEURODEGENERATIVE ERKRANKUNGEN E. V. (DZNE),1
DEVIN AKOK,DEVIN AKOK,1
DHL FREIGHT GMBH,DHL FREIGHT GMBH,1
DIAK KLINIKUM LANDKREIS SCHWÄBISCH HALL - BAU UND TECHNIK,DIAK KLINIKUM LANDKREIS SCHWÄBISCH HALL - BAU UND TECHNIK,1
DIE PLANSCHMIEDE ANDRÉ GECKELER,DIE PLANSCHMIEDE ANDRÉ GECKELER,1
DIE REGENSAMMLER BERND HADER,DIE REGENSAMMLER BERND HADER,1
DIE ZUKUNFTSVERWALTER MÜNCHEN,DIE ZUKUNFTSVERWALTER MÜNCHEN,1
DIECKMEYER HUBERT,DIECKMEYER HUBERT,1
DIEHL BRASS SOLUTIONS STIFTUNG CO.,DIEHL BRASS SOLUTIONS STIFTUNG CO.,1
DIERINGER GMBH,DIERINGER GMBH,1
DIETER GSCHEIDLE OHG,DIETER GSCHEIDLE OHG,1
DIETER MARTIN GMBH,DIETER MARTIN GMBH,1
DIETMAR & ANNEMARIE KIEBEL,DIETMAR & ANNEMARIE KIEBEL,1
DIETMAR MÜLLER HEIZUNG-LÜFTUNG-SANITÄR GMBH,DIETMAR MÜLLER HEIZUNG-LÜFTUNG-SANITÄR GMBH,1
DIETRICH HAUSTECHNIK GMBH & CO. KG,DIETRICH HAUSTECHNIK GMBH & CO. KG,1
DIPL.-ING. REINER SCHÜTT,DIPL.-ING. REINER SCHÜTT,1
DIRK ZIEGELER HEIZUNG SANITÄR,DIRK ZIEGELER HEIZUNG SANITÄR,1
DIV- HAUSSCHMID,DIV- HAUSSCHMID,1
DKG DRECHSEL & KÖBERLEIN GEBÄUDEMANAGEMENT GMBH,DKG DRECHSEL & KÖBERLEIN GEBÄUDEMANAGEMENT GMBH,1
DL-TECHNIK GMBH,DL-TECHNIK GMBH,1
DOMINIK BRENDEL,DOMINIK BRENDEL,1
DOMINIK KÖPPL,DOMINIK KÖPPL,1
DOMINIK MAURER SANITAER UND HEIZUNG,DOMINIK MAURER SANITAER UND HEIZUNG,1
DOMINIK THELE GABEMITFARBE (NEW VAT),DOMINIK THELE GABEMITFARBE (NEW VAT),1
DOMRÖSE GMBH,DOMRÖSE GMBH,1
DON GMBH & CO.KG,DON GMBH & CO.KG,1
DORFGEMEINSCHAFT RAST E.V.,DORFGEMEINSCHAFT RAST E.V.,1
DORIS UND HOLGER NIELSEN,DORIS UND HOLGER NIELSEN,1
DORNHÖFER GMBH,DORNHÖFER GMBH,1
DOSER MAX GMBH & CO. KG,DOSER MAX GMBH & CO. KG,1
DPD DEUTSCHLAND GMBH,DPD DEUTSCHLAND GMBH,1
DR. ALEXA XENIA ORTWEIN,DR. ALEXA XENIA ORTWEIN,1
DR. BOHR C/O DR. JOHANNES JANSEN & PARTNER GMBH,DR. BOHR C/O DR. JOHANNES JANSEN & PARTNER GMBH,1
DR. KORNDER GMBH & CO. KG,DR. KORNDER GMBH & CO. KG,1
DR. KURT KORSING GMBH & CO. KG,DR. KURT KORSING GMBH & CO. KG,1
DR. OLIVER LAIG,DR. OLIVER LAIG,1
DR. SCHRÖDER GMBH NCHF.,DR. SCHRÖDER GMBH NCHF.,1
DR. STARCK GEBÄUDE- & UMWELTTECHNIK GMBH,DR. STARCK GEBÄUDE- & UMWELTTECHNIK GMBH,1
DR. SVEN HALLDORM,DR. SVEN HALLDORM,1
DRECHSLERTECHNIK GMBH,DRECHSLERTECHNIK GMBH,1
DRESCHER HAUSTECHNIK KG,DRESCHER HAUSTECHNIK KG,1
DREWS MARINE GMBH,DREWS MARINE GMBH,1
DRITON SANITÄR- UND HEIZUNGSTECHNIK GMBH & CO. KG,DRITON SANITÄR- UND HEIZUNGSTECHNIK GMBH & CO. KG,1
DRUCKLUFT SCHMITZ GMBH,DRUCKLUFT SCHMITZ GMBH,1
DRUCKLUFT-EVERS GMBH,DRUCKLUFT-EVERS GMBH,1
DRÄGERT GEBÄUDETECHNIK GMBH,DRÄGERT GEBÄUDETECHNIK GMBH,1
DS FUSSBODENTECHNIK GMBH,DS FUSSBODENTECHNIK GMBH,1
DUSAN PETROVIC C/O IMMOBILIENVERWALTUNG WNV WILLY NEUEN E.K,DUSAN PETROVIC C/O IMMOBILIENVERWALTUNG WNV WILLY NEUEN E.K,1
DÜRR & FEIL GMBH & CO. KG (NEW VAT),DÜRR & FEIL GMBH & CO. KG (NEW VAT),1
E. FREIDINGER GMBH,E. FREIDINGER GMBH,1
E. WERTHEIMER GMBH,E. WERTHEIMER GMBH,1
E.B.D. WÄRMETECHNIK GBR,E.B.D. WÄRMETECHNIK GBR,1
EBERO FAB GMBH,EBERO FAB GMBH,1
EBNER MATTHIAS FRANZ,EBNER MATTHIAS FRANZ,1
ED. ZÜBLIN AG,ED. ZÜBLIN AG,1
EDELMANN GMBH,EDELMANN GMBH,1
EDIN HODZIC,EDIN HODZIC,1
EDLING GMBH,EDLING GMBH,1
EDUARD PFUNT,EDUARD PFUNT,1
EDWARD GRANT,EDWARD GRANT,1
EES ERIC EILERS,EES ERIC EILERS,1
EFKEMANN SANITÄR & HEIZUNGSBAU GMBH,EFKEMANN SANITÄR & HEIZUNGSBAU GMBH,1
EFS HAUSTECHNIK ELEKTRO FRIEDRICH SANITÄR GMBH,EFS HAUSTECHNIK ELEKTRO FRIEDRICH SANITÄR GMBH,1
EGBERT BÖHM,EGBERT BÖHM,1
EGGERT HAUSTECHNIK GMBH,EGGERT HAUSTECHNIK GMBH,1
EGMONT VENN,EGMONT VENN,1
EGON SALM GMBH,EGON SALM GMBH,1
EHLERT HAUSTECHNIK GMBH,EHLERT HAUSTECHNIK GMBH,1
EI IMMOBILIEN GMBH,EI IMMOBILIEN GMBH,1
EIDNER GMBH,EIDNER GMBH,1
EIFFAGE INFRA-HOCHBAU GMBH,EIFFAGE INFRA-HOCHBAU GMBH,1
EIGENTÜMERGEMEINSCHAFT HOFMARK 15,EIGENTÜMERGEMEINSCHAFT HOFMARK 15,1
EIGENTÜMERGEMEINSCHAFT IN DEN AUEGÄRTEN C/O K.BURG AG & CO. PROJEKT KG,EIGENTÜMERGEMEINSCHAFT IN DEN AUEGÄRTEN C/O K.BURG AG & CO. PROJEKT KG,1
EISEN-FISCHER GMBH,EISEN-FISCHER GMBH,1
EISEN-FISCHER GMBH & CO. KG,EISEN-FISCHER GMBH & CO. KG,1
EISENHANDEL PRELL GMBH & CO.K,EISENHANDEL PRELL GMBH & CO.K,1
EISENHUTH GMBH SANITÄR-HEIZUNG-ELEKTRO,EISENHUTH GMBH SANITÄR-HEIZUNG-ELEKTRO,1
EISENVATER & STITZ KG,EISENVATER & STITZ KG,1
EISENVATER KG,EISENVATER KG,1
"EISENVATER KG, BRAUNSCHWEIG","EISENVATER KG, BRAUNSCHWEIG",1
ELEKTRO SCHMIDT,ELEKTRO SCHMIDT,1
ELEKTROTECHNIK LEITENBERGER GMBH & CO KG.,ELEKTROTECHNIK LEITENBERGER GMBH & CO KG.,1
ELEMENTS LOGISTIK OST GMBH & CO. KG,ELEMENTS LOGISTIK OST GMBH & CO. KG,1
ELG METALL E.G.,ELG METALL E.G.,1
ELGORA EG,ELGORA EG,1
ELMATIC GMBH - GEBÄUDEMANAGEMENT,ELMATIC GMBH - GEBÄUDEMANAGEMENT,1
ELMER GMBH & CO. KG BOTTROP,ELMER GMBH & CO. KG BOTTROP,1
ELMER GMBH & CO. KG RHEINE,ELMER GMBH & CO. KG RHEINE,1
ELMER LOGISTIK BOTTROP GMBH & CO KG,ELMER LOGISTIK BOTTROP GMBH & CO KG,1
ELMER LOGISTIK GMBH & CO. KG DORMAGEN,ELMER LOGISTIK GMBH & CO. KG DORMAGEN,1
ELMER LOGISTIK GMBH & CO. KG WESTFALEN,ELMER LOGISTIK GMBH & CO. KG WESTFALEN,1
ELMER LOGISTIK GMBH CO. KG,ELMER LOGISTIK GMBH CO. KG,1
ELMER LOGISTIK MECKENHEIM,ELMER LOGISTIK MECKENHEIM,1
ELMERS GMBH & CO.,ELMERS GMBH & CO.,1
ELP IMMOBILIEN VERWALTUNG GMBH,ELP IMMOBILIEN VERWALTUNG GMBH,1
ELSKAMP GMBH,ELSKAMP GMBH,1
ELSPERMANN GROSSHANDELS GMBH & CO.KG,ELSPERMANN GROSSHANDELS GMBH & CO.KG,1
EMIL FOHRER GMBH & CO. KG,EMIL FOHRER GMBH & CO. KG,1
EN.PLUS,EN.PLUS,1
ENERGIE MANAGEMENT BADEN GMBH,ENERGIE MANAGEMENT BADEN GMBH,1
ENERGIE- UND GEBÄUDETECHNIK IRLBACHER GMBH,ENERGIE- UND GEBÄUDETECHNIK IRLBACHER GMBH,1
ENERGIE3ECK,ENERGIE3ECK,1
ENERGIEANLAGEN NORD GMBH,ENERGIEANLAGEN NORD GMBH,1
ENGELBRECHT HAUSTECHNIK,ENGELBRECHT HAUSTECHNIK,1
ENGELHARD HAUSTECHNIK GMBH,ENGELHARD HAUSTECHNIK GMBH,1
ENGIE DEUTSCHLAND GMBH,ENGIE DEUTSCHLAND GMBH,1
ENGIE DEUTSCHLAND GMBH GB ENERGY SERVICES,ENGIE DEUTSCHLAND GMBH GB ENERGY SERVICES,1
ENHATEC HAKAN ERTUGRUL,ENHATEC HAKAN ERTUGRUL,1
ENKO GMBH,ENKO GMBH,1
ENTEGA,ENTEGA,1
ENTEGA AG,ENTEGA AG,1
ENTEGA GEBÄUDETECHNIK GMBH & CO KG,ENTEGA GEBÄUDETECHNIK GMBH & CO KG,1
ENVITEC ANLAGEBAU GMBH & CO. KG,ENVITEC ANLAGEBAU GMBH & CO. KG,1
EPP PIUS,EPP PIUS,1
ERBE GMBH,ERBE GMBH,1
"ERBENGEMEINSCHAFT AUENSTRAẞE 78, BESTEHEND AUS HELMUT SCHMID, KARIN SCHMID, THOMAS SCHMID","ERBENGEMEINSCHAFT AUENSTRAẞE 78, BESTEHEND AUS HELMUT SCHMID, KARIN SCHMID, THOMAS SCHMID",1
ERFTTAL WOHNEN GMBH & CO. KG,ERFTTAL WOHNEN GMBH & CO. KG,1
ERGIN SARAC,ERGIN SARAC,1
ERHART KG,ERHART KG,1
ERIC OEHME,ERIC OEHME,1
ERIKS B.V.,ERIKS B.V.,1
ERLAS ERLANGER LASERTECHNIK GMBH,ERLAS ERLANGER LASERTECHNIK GMBH,1
ERNST BÜTTNER GMBH,ERNST BÜTTNER GMBH,1
ERNST KLUG,ERNST KLUG,1
ERNST KRAEMER HEIZUNGS- UND SANITÄRINSTALLATION GMBH,ERNST KRAEMER HEIZUNGS- UND SANITÄRINSTALLATION GMBH,1
ERNST LÜTZOW GMBH,ERNST LÜTZOW GMBH,1
ERNST SCHÖN,ERNST SCHÖN,1
ERT GMBH,ERT GMBH,1
ERWIN MAUERER GMBH,ERWIN MAUERER GMBH,1
ERWIN MEIER GMBH & CO KG,ERWIN MEIER GMBH & CO KG,1
ERWIN MERK GMBH,ERWIN MERK GMBH,1
ERWIN REAL GMBH,ERWIN REAL GMBH,1
ERWIN SCHWARZFISCHER,ERWIN SCHWARZFISCHER,1
"ESG, JÖRG HAMACHER","ESG, JÖRG HAMACHER",1
ESH MEISTERTEAM,ESH MEISTERTEAM,1
ETM HEIZUNG LÜFTUNG SANITÄR GMBH,ETM HEIZUNG LÜFTUNG SANITÄR GMBH,1
ETS BUFFADINI P. & FILS,ETS BUFFADINI P. & FILS,1
EUGEN BÜRING GMBH,EUGEN BÜRING GMBH,1
EUGEN HEINZ GMBH,EUGEN HEINZ GMBH,1
EUGEN KLETTI GMBH,EUGEN KLETTI GMBH,1
EUGEN KÖNIG GMBH,EUGEN KÖNIG GMBH,1
EUGEN KÖNIG GMBH NL FRANKFURT,EUGEN KÖNIG GMBH NL FRANKFURT,1
EUGEN KÖNIG GMBH NL ZWEIBRÜCKEN,EUGEN KÖNIG GMBH NL ZWEIBRÜCKEN,1
EUROLFLAMM GMBH,EUROLFLAMM GMBH,1
"EV.-METHODISTICHE KIRCHEN, BEZIRK ERLÖSERKIRCHE","EV.-METHODISTICHE KIRCHEN, BEZIRK ERLÖSERKIRCHE",1
EVERS GMBH,EVERS GMBH,1
EWALD SCHÜSSELE,EWALD SCHÜSSELE,1
EẞELING HAUS- U. ENERGIETECHNIK GMB,EẞELING HAUS- U. ENERGIETECHNIK GMB,1
EẞELING HAUS- UND ENERGIETECHNIK GMBH,EẞELING HAUS- UND ENERGIETECHNIK GMBH,1
F&H RESIDENTIAL GMBH & CO. KG,F&H RESIDENTIAL GMBH & CO. KG,1
F+F GEBÄUDETECHNIK GMBH,F+F GEBÄUDETECHNIK GMBH,1
F. BRUEGGEMANN NACHF. GMBH,F. BRUEGGEMANN NACHF. GMBH,1
F. X. RUCH KG,F. X. RUCH KG,1
F.R.I.T.Z. HAUSTECHNIK GMBH,F.R.I.T.Z. HAUSTECHNIK GMBH,1
F.W. HEMPEL LEGIERUNGSMETALL GMBH,F.W. HEMPEL LEGIERUNGSMETALL GMBH,1
FABIAN UND GABRIELE FRÄNKLE GDBR,FABIAN UND GABRIELE FRÄNKLE GDBR,1
FABIAN UND VINCENT PRÖBSTL,FABIAN UND VINCENT PRÖBSTL,1
FABORY NEDERLAND B.V.,FABORY NEDERLAND B.V.,1
FAKLER GMBH & CO.KG,FAKLER GMBH & CO.KG,1
FAMILIE SCHRÖDER,FAMILIE SCHRÖDER,1
FAMIS GMBH,FAMIS GMBH,1
FAMO GMBH & CO. KG FACHGROSSHANDEL,FAMO GMBH & CO. KG FACHGROSSHANDEL,1
FEGA & SCHMITT LEIPZIG LP,FEGA & SCHMITT LEIPZIG LP,1
FEIL - SOLARTECHNIK,FEIL - SOLARTECHNIK,1
FEISTL LÜFTUNGS- UND KLIMATECHNIK GMBH & CO. KG,FEISTL LÜFTUNGS- UND KLIMATECHNIK GMBH & CO. KG,1
FELDTMANN GEBÄUDETECHNIK KG,FELDTMANN GEBÄUDETECHNIK KG,1
FELSNER GMBH,FELSNER GMBH,1
FENDEL GEBAEUDETECHNIK KG,FENDEL GEBAEUDETECHNIK KG,1
FENDEL KG,FENDEL KG,1
FENDT HAUSTECHNIK GMBH,FENDT HAUSTECHNIK GMBH,1
FERMO-MASSIVHAUS AG,FERMO-MASSIVHAUS AG,1
FERROKNEPPER BUDERUS SA,FERROKNEPPER BUDERUS SA,1
FERSTL & SCHARL GDBR,FERSTL & SCHARL GDBR,1
FEY DRUCKLUFT GMBH & CO. KG,FEY DRUCKLUFT GMBH & CO. KG,1
FG VERSORGUNGSTECHNIK GMBH,FG VERSORGUNGSTECHNIK GMBH,1
FHS AUSBAU GMBH,FHS AUSBAU GMBH,1
"FIEDLER SANITÄR-, HEIZUNGS- UND KLIMATECHNIK GMBH","FIEDLER SANITÄR-, HEIZUNGS- UND KLIMATECHNIK GMBH",1
FILSER HAUSTECHNIK GMBH,FILSER HAUSTECHNIK GMBH,1
FINK GEBÄUDETECHNIK GMBH & CO. KG,FINK GEBÄUDETECHNIK GMBH & CO. KG,1
FISCHER - J. W. ZANDER GMBH & CO. KG,FISCHER - J. W. ZANDER GMBH & CO. KG,1
FISCHER ALBERT,FISCHER ALBERT,1
FISCHER GMBH,FISCHER GMBH,1
FISCHER GMBH & CO.KG,FISCHER GMBH & CO.KG,1
FISCHER HAUSTECHNIK GMBH,FISCHER HAUSTECHNIK GMBH,1
FISCHER SANITÄR- UND HEIZUNGSTECHNIK GMBH & CO. KG,FISCHER SANITÄR- UND HEIZUNGSTECHNIK GMBH & CO. KG,1
FLACH GMBH BAD UND HEIZUNG,FLACH GMBH BAD UND HEIZUNG,1
FLAIG GEBÄUDETECHNIK GMBH & CO. KG,FLAIG GEBÄUDETECHNIK GMBH & CO. KG,1
FLEIG GMBH,FLEIG GMBH,1
FLOREA HAUSTECHNIK GMBH,FLOREA HAUSTECHNIK GMBH,1
FLORIAN FRETER - HEIZUNG,FLORIAN FRETER - HEIZUNG,1
FLUSCHNIK VERSORGUNGSTECHNIK GMBH,FLUSCHNIK VERSORGUNGSTECHNIK GMBH,1
FONDIUM SINGEN GMBH,FONDIUM SINGEN GMBH,1
FOSSLER GMBH,FOSSLER GMBH,1
FRANCA PROJEKTENTWICKLUNG GMBH,FRANCA PROJEKTENTWICKLUNG GMBH,1
FRANK DUDEK HEIZUNG UND SANITÄR GMBH,FRANK DUDEK HEIZUNG UND SANITÄR GMBH,1
FRANK GEILS GMBH,FRANK GEILS GMBH,1
FRANK GNIESE GMBH,FRANK GNIESE GMBH,1
FRANK HAUSTECHNIK GMBH,FRANK HAUSTECHNIK GMBH,1
FRANK HÖSCHLER SANITÄRTECHNIK-HEIZUNG,FRANK HÖSCHLER SANITÄRTECHNIK-HEIZUNG,1
FRANK MEINERT,FRANK MEINERT,1
FRANK NEHRING,FRANK NEHRING,1
FRANK PROJEKTENTWICKLUNG WOHNKONZEPT GMBH,FRANK PROJEKTENTWICKLUNG WOHNKONZEPT GMBH,1
"FRANK WENZEL - SANITÄR, HEIZUNG & KLIMA","FRANK WENZEL - SANITÄR, HEIZUNG & KLIMA",1
FRANK WILDGRUBE,FRANK WILDGRUBE,1
"FRANKE, BAEHR & RITTER GMBH","FRANKE, BAEHR & RITTER GMBH",1
FRANKEN MEISTERBETRIEB,FRANKEN MEISTERBETRIEB,1
FRANZ & ZIMMERMANN HAUSVERWALTUNG UND IMMOBILIEN,FRANZ & ZIMMERMANN HAUSVERWALTUNG UND IMMOBILIEN,1
FRANZ KNEMEYER,FRANZ KNEMEYER,1
FRANZ LOHR GMBH,FRANZ LOHR GMBH,1
FRANZ SCHANZ GMBH & CO. KG,FRANZ SCHANZ GMBH & CO. KG,1
FRANZ SCHEUERLE ULM KG,FRANZ SCHEUERLE ULM KG,1
FRANZ SILBERHORN KG,FRANZ SILBERHORN KG,1
FRANZ ZAUNER,FRANZ ZAUNER,1
FRAUNHOFER IBP,FRAUNHOFER IBP,1
FRECH & MOLL GMBH,FRECH & MOLL GMBH,1
FREER HAUSTECHNIK GMBH,FREER HAUSTECHNIK GMBH,1
FREIZEIT- UND FREMDENVERKEHRSBETRIEB DER GEMEINDE THOLEY,FREIZEIT- UND FREMDENVERKEHRSBETRIEB DER GEMEINDE THOLEY,1
FRESENIUS HEALTH SERVICES DEUTSCHLAND-BETRIEBSTECHNIK NORD GMBH C/O HELIOS KLINIK LEEZEN,FRESENIUS HEALTH SERVICES DEUTSCHLAND-BETRIEBSTECHNIK NORD GMBH C/O HELIOS KLINIK LEEZEN,1
FRETER GEBÄUDETECHNIK,FRETER GEBÄUDETECHNIK,1
FREY FRIEDWILL GMBH,FREY FRIEDWILL GMBH,1
FRIEDERIKE-FLIEDNER-HAUS,FRIEDERIKE-FLIEDNER-HAUS,1
FRIEDL MATTHIAS,FRIEDL MATTHIAS,1
FRIEDRICH BURK GMBH + CO.KG,FRIEDRICH BURK GMBH + CO.KG,1
FRIEDRICH DECKER GMBH,FRIEDRICH DECKER GMBH,1
FRIEDRICH KÖHRING,FRIEDRICH KÖHRING,1
FRIEDRICH LANGE GMBH,FRIEDRICH LANGE GMBH,1
FRIEDRICH NEUMANN GMBH & CO.,FRIEDRICH NEUMANN GMBH & CO.,1
FRIEDRICH RAULFS GMBH,FRIEDRICH RAULFS GMBH,1
FRIEDRICH WIEBKE GMBH & CO. KG,FRIEDRICH WIEBKE GMBH & CO. KG,1
FRIEDRICH WÜST KG,FRIEDRICH WÜST KG,1
FRIELING FRITZ GMBH,FRIELING FRITZ GMBH,1
FRINGS GMBH,FRINGS GMBH,1
FRITSCH GMBH,FRITSCH GMBH,1
FRITSCH HEIZUNGSBAU GMBH & CO.KG,FRITSCH HEIZUNGSBAU GMBH & CO.KG,1
FRITZ & SCHNECK GMBH & CO. KG,FRITZ & SCHNECK GMBH & CO. KG,1
FRITZ EHRENSBERGER GMBH,FRITZ EHRENSBERGER GMBH,1
FRITZ FRIELING GMBH,FRITZ FRIELING GMBH,1
FRITZ MEIER HAUSTECHNIK,FRITZ MEIER HAUSTECHNIK,1
FRONIUS HAUSTECHNIK GMBH,FRONIUS HAUSTECHNIK GMBH,1
FUBOH MONTAGESERVICE,FUBOH MONTAGESERVICE,1
FUCHS GMBH,FUCHS GMBH,1
FUCHS LUDWIG,FUCHS LUDWIG,1
FUNK BAUUNTERNEHMUNG GMBH,FUNK BAUUNTERNEHMUNG GMBH,1
FUS & SOHN GMBH,FUS & SOHN GMBH,1
FUS GMBH,FUS GMBH,1
FV-VERSORGUNGSTECHNIK,FV-VERSORGUNGSTECHNIK,1
FX RUCH KG,FX RUCH KG,1
FZE FEHMI ZUKAJ SANITÄR & HEIZUNG,FZE FEHMI ZUKAJ SANITÄR & HEIZUNG,1
G+S HEIZUNGS-UND SANITÄRGESELLSCHAFT GMBH,G+S HEIZUNGS-UND SANITÄRGESELLSCHAFT GMBH,1
G. BETTENDORF GMBH,G. BETTENDORF GMBH,1
G. HOFFMANN,G. HOFFMANN,1
G. HOFFMANN GMBH & CO. KG,G. HOFFMANN GMBH & CO. KG,1
G. LINDENBLATT + H.J. GOTTZMANN OHG INDUSTRIE-MANAGEMENT,G. LINDENBLATT + H.J. GOTTZMANN OHG INDUSTRIE-MANAGEMENT,1
G. SCHALLER GMBH,G. SCHALLER GMBH,1
G.-H. GEERKENS GMBH,G.-H. GEERKENS GMBH,1
G.U.T EMMEL KG,G.U.T EMMEL KG,1
G.U.T. ELTING KG,G.U.T. ELTING KG,1
G.U.T. FELDTMANN KG,G.U.T. FELDTMANN KG,1
G.U.T. FENDEL,G.U.T. FENDEL,1
G.U.T. OFFENBURG KG,G.U.T. OFFENBURG KG,1
G.U.T. SCHRAMM KG,G.U.T. SCHRAMM KG,1
GA-TEC GEBÄUDE- UND ANLAGENTECHNIK GMBH,GA-TEC GEBÄUDE- UND ANLAGENTECHNIK GMBH,1
GABEMITFARBE GMBH,GABEMITFARBE GMBH,1
GABRIELE HELLER,GABRIELE HELLER,1
GADOW SCHOLZ GBR SANITÄR- & HEIZUNGSTECHNIK,GADOW SCHOLZ GBR SANITÄR- & HEIZUNGSTECHNIK,1
GALUSCHKA JÜRGEN,GALUSCHKA JÜRGEN,1
GAMPP HAUSTECHNIK GMBH,GAMPP HAUSTECHNIK GMBH,1
GARANT IMMOBILIEN GMBH,GARANT IMMOBILIEN GMBH,1
GARANT WÄRMESYSTEME MÜNCHEN GMBH,GARANT WÄRMESYSTEME MÜNCHEN GMBH,1
GASGERÄTETECHNIK U. SANITÄRSERVICE LIMBERGER & AMOS OHG,GASGERÄTETECHNIK U. SANITÄRSERVICE LIMBERGER & AMOS OHG,1
GASSMANN HARALD,GASSMANN HARALD,1
GAUẞ GMBH,GAUẞ GMBH,1
GB-TECH GMBH,GB-TECH GMBH,1
GC SANITAER UND HEIZUNGS HANDELS CONTOR GMBH,GC SANITAER UND HEIZUNGS HANDELS CONTOR GMBH,1
GC24-EXPRESS KG,GC24-EXPRESS KG,1
GDWE JÖRG-HUBE-STR. 71-93 VERTR. D. SCHEIDL IMMOBILIEN GMBH,GDWE JÖRG-HUBE-STR. 71-93 VERTR. D. SCHEIDL IMMOBILIEN GMBH,1
