original_name,canonical_name,num_similar
ANDREE REITZ,ANDREE REITZ,1
ANDRÄ - BÄDER,ANDRÄ - BÄDER,1
ANDRÉ BRANDL,ANDRÉ BRANDL,1
ANDRÉ DERLETH,ANDRÉ DERLETH,1
ANDRÉ KRETSCHMAR HEIZUNGSBAU,ANDRÉ KRETSCHMAR HEIZUNGSBAU,1
ANDRÉ LANG,ANDRÉ LANG,1
ANGELA JOHANNES GMBH,ANGELA JOHANNES GMBH,1
ANLAGENBAU OXFORT GMBH,ANLAGENBAU OXFORT GMBH,1
ANNETTE FELIX-LEE,ANNETTE FELIX-LEE,1
ANTRETTER & RIXNER HAUSTECHNIK GMBH,ANTRETTER & RIXNER HAUSTECHNIK GMBH,1
APLEONA NORDOST GMBH,APLEONA NORDOST GMBH,1
APLEONA REAL ESTATE GMBH,APLEONA REAL ESTATE GMBH,1
APLEONA WOLFFERTS GMBH,APLEONA WOLFFERTS GMBH,1
APRITEC GMBH,APRITEC GMBH,1
APROPOS WASSER UND WÄRME GMBH,APROPOS WASSER UND WÄRME GMBH,1
AQUASAVE,AQUASAVE,1
AQUASAVE GMBH,AQUASAVE GMBH,1
ARCHITEKT JÜRGEN KNOPPIK,ARCHITEKT JÜRGEN KNOPPIK,1
ARCHITEKTIN MARIE-LUISE MATTIS,ARCHITEKTIN MARIE-LUISE MATTIS,1
ARCHITEKTURBÜRO HELLWIG HOFMANN,ARCHITEKTURBÜRO HELLWIG HOFMANN,1
ARENS & STITZ KG,ARENS & STITZ KG,1
AREO GA 43 GMBH,AREO GA 43 GMBH,1
ARGO SVEN,ARGO SVEN,1
ARINGER GEORG,ARINGER GEORG,1
ARISTOTELIS DAVAROUKAS C/O BHV IMMOBILIENVERWALTUNG UND MANAGEMENT GMBH,ARISTOTELIS DAVAROUKAS C/O BHV IMMOBILIENVERWALTUNG UND MANAGEMENT GMBH,1
ARMIN FLICKER GMBH & CO.KG,ARMIN FLICKER GMBH & CO.KG,1
ARNDT GMBH,ARNDT GMBH,1
ARNE HOLST,ARNE HOLST,1
ARNO DUNZ,ARNO DUNZ,1
ARNOLD LAMMERING GMBH,ARNOLD LAMMERING GMBH,1
ARNOLD NILLES GMBH,ARNOLD NILLES GMBH,1
ARNOLD RÜCKERT GMBH,ARNOLD RÜCKERT GMBH,1
ARON BARTSCH,ARON BARTSCH,1
ART BERTULEIT KÄLTE-KLIMA GMBH,ART BERTULEIT KÄLTE-KLIMA GMBH,1
ARTHUR SCHREINER DRUCKLUFTSERVICE,ARTHUR SCHREINER DRUCKLUFTSERVICE,1
ARTUS GESELLSCHAFT FÜR BRAND- U. WASSERSCHADENSANIERUNG MBH,ARTUS GESELLSCHAFT FÜR BRAND- U. WASSERSCHADENSANIERUNG MBH,1
AS-DIENSTLEISTUNGEN GMBH,AS-DIENSTLEISTUNGEN GMBH,1
ASCHEMANN & KOCH HAUSTECHNIK,ASCHEMANN & KOCH HAUSTECHNIK,1
ASI GMBH,ASI GMBH,1
ASSENMACHER & MOMBURG GMBH,ASSENMACHER & MOMBURG GMBH,1
ASTRID KLOFT,ASTRID KLOFT,1
ATRICURA GMBH,ATRICURA GMBH,1
AUDI BERLIN GMBH,AUDI BERLIN GMBH,1
AUG. HESEDING GMBH,AUG. HESEDING GMBH,1
AUGUST BROETJE HANDEL KG,AUGUST BROETJE HANDEL KG,1
AUGUST BROETJE KG,AUGUST BROETJE KG,1
AUGUST BRÖTJE HANDEL KG,AUGUST BRÖTJE HANDEL KG,1
AUGUST KAHL HEIZUNGS- UND SANITÄRTECHNIK GMBH,AUGUST KAHL HEIZUNGS- UND SANITÄRTECHNIK GMBH,1
AUSBAU GEITHAIN GMBH,AUSBAU GEITHAIN GMBH,1
AUSCHRA & ORTMANN GMBH,AUSCHRA & ORTMANN GMBH,1
AWO PSYCHIATRIEZENTRUM,AWO PSYCHIATRIEZENTRUM,1
AXEL BERGER,AXEL BERGER,1
AXEL HANL GMBH,AXEL HANL GMBH,1
AXEL NIEHS,AXEL NIEHS,1
A² HAUSTECHNIK GMBH,A² HAUSTECHNIK GMBH,1
B & S HOCHBAU GMBH,B & S HOCHBAU GMBH,1
B&O BAU BAYERN GMBH,B&O BAU BAYERN GMBH,1
B&O SERVICE BERLIN GMBH,B&O SERVICE BERLIN GMBH,1
B&O SERVICE SE,B&O SERVICE SE,1
B. WESSEL GMBH & CO. KG,B. WESSEL GMBH & CO. KG,1
BACKHAUS BAD GMBH,BACKHAUS BAD GMBH,1
BAD & DESIGN – RUẞIN & RADDEI GBR,BAD & DESIGN – RUẞIN & RADDEI GBR,1
BAD & HEIZUNG KALTMAIER GMBH,BAD & HEIZUNG KALTMAIER GMBH,1
BAD & HEIZUNG PETER PÄTKAU GMBH,BAD & HEIZUNG PETER PÄTKAU GMBH,1
BAD & KONZEPT GRUNDEN & FÖCKER GMBH,BAD & KONZEPT GRUNDEN & FÖCKER GMBH,1
BAD ELEMENT POLSKA SP. Z O.O.,BAD ELEMENT POLSKA SP. Z O.O.,1
BAD&HEIZUNG SPERBER GMBH & CO. KG,BAD&HEIZUNG SPERBER GMBH & CO. KG,1
BADMANUFAKTUR F.R.E.I. GMBH,BADMANUFAKTUR F.R.E.I. GMBH,1
BAER & OLLENROTH KG,BAER & OLLENROTH KG,1
BAJRIC SANITÄR- UND HEIZUNG,BAJRIC SANITÄR- UND HEIZUNG,1
BALDAUF HAUSTECHNIK,BALDAUF HAUSTECHNIK,1
BALZER & NASSAUER GMBH&CO.KG,BALZER & NASSAUER GMBH&CO.KG,1
BALZER + NASSAUER GMBH & CO. KG,BALZER + NASSAUER GMBH & CO. KG,1
BALZER GMBH & CO KG,BALZER GMBH & CO KG,1
BAREISS SANITÄR- UND HEIZUNGS-GROẞHANDEL GMBH,BAREISS SANITÄR- UND HEIZUNGS-GROẞHANDEL GMBH,1
BARENSTEINER OHG,BARENSTEINER OHG,1
BAU- UND WOHNUNGSGENOSSENSCHAFT NECKAR-FILS EG,BAU- UND WOHNUNGSGENOSSENSCHAFT NECKAR-FILS EG,1
BAUCOM,BAUCOM,1
BAUEN + LEBEN GMBH & CO. KG,BAUEN + LEBEN GMBH & CO. KG,1
BAUEN + LEBEN TEAM BAUCENTER GMBH & CO. KG,BAUEN + LEBEN TEAM BAUCENTER GMBH & CO. KG,1
BAUER GMBH,BAUER GMBH,1
BAUERMANN GMBH,BAUERMANN GMBH,1
BAUFACHZENTRUM FALKENHAGEN GMBH,BAUFACHZENTRUM FALKENHAGEN GMBH,1
BAUHOFER+ RIESMEIER GMBH,BAUHOFER+ RIESMEIER GMBH,1
BAUKING AG GROSSHANDEL,BAUKING AG GROSSHANDEL,1
BAUKING OSTFALEN GMBH,BAUKING OSTFALEN GMBH,1
BAUKING SÜDWESTFALEN GMBH,BAUKING SÜDWESTFALEN GMBH,1
BAUKING WESER-EMS GMBH,BAUKING WESER-EMS GMBH,1
BAUKING WESTFALEN GMBH,BAUKING WESTFALEN GMBH,1
BAULAND VERWALTUNGSGESELLSCHAFT MBH,BAULAND VERWALTUNGSGESELLSCHAFT MBH,1
BAUMANN HAUSTECHNIK LUFT- UND KLIMATECHNIK GMBH,BAUMANN HAUSTECHNIK LUFT- UND KLIMATECHNIK GMBH,1
"BAUMANN, GÜNTER","BAUMANN, GÜNTER",1
BAUMGARTNER SHK GMBH,BAUMGARTNER SHK GMBH,1
BAUMGÄRTNER & HIRSCH,BAUMGÄRTNER & HIRSCH,1
BAUSATZHAUS VAN ELST GMBH & CO. KG,BAUSATZHAUS VAN ELST GMBH & CO. KG,1
BAUSERVICE RIEMER,BAUSERVICE RIEMER,1
BAUSTOFF BRANDES GMBH,BAUSTOFF BRANDES GMBH,1
BAUSTOFF-CENTRUM GMBH STAẞFURT,BAUSTOFF-CENTRUM GMBH STAẞFURT,1
BAUUNTERNEHMUNG BÖPPLE GMBH,BAUUNTERNEHMUNG BÖPPLE GMBH,1
BAUUNTERNEHMUNG WERNER HASLER,BAUUNTERNEHMUNG WERNER HASLER,1
BAUWENS CONSTRUCTION GMBH & CO. KG,BAUWENS CONSTRUCTION GMBH & CO. KG,1
BAUZENTRUM RÜPPEL GMBH,BAUZENTRUM RÜPPEL GMBH,1
BAYERISCHE ENERGIETECHNIK GMBH,BAYERISCHE ENERGIETECHNIK GMBH,1
BAYWA AG,BAYWA AG,1
BAYWA HAUSTECHNIK GMBH,BAYWA HAUSTECHNIK GMBH,1
BB PLAN GMBH,BB PLAN GMBH,1
BC- ENVIROTEC GMBH,BC- ENVIROTEC GMBH,1
BECHEM + POST WÄRMETECHNIK KUNDENDIENST GMBH,BECHEM + POST WÄRMETECHNIK KUNDENDIENST GMBH,1
BECHERT HAUSTECHNIK GMBH,BECHERT HAUSTECHNIK GMBH,1
BECK HEIZUNG SANITAER,BECK HEIZUNG SANITAER,1
BEHRENS HEIZUNG SANITÄR,BEHRENS HEIZUNG SANITÄR,1
BEHRENS VERSORGUNGSTECHNIK GMBH,BEHRENS VERSORGUNGSTECHNIK GMBH,1
BEIELSTEIN GMBH,BEIELSTEIN GMBH,1
BELLMANN & MEHRKENS GMBH,BELLMANN & MEHRKENS GMBH,1
BELZ HAUSTECHNIK GMBH,BELZ HAUSTECHNIK GMBH,1
BELZIGER BAUSTOFFHANDEL GMBH,BELZIGER BAUSTOFFHANDEL GMBH,1
BELZNER THOMAS,BELZNER THOMAS,1
BENDA SANITÄRTECHNIK GMBH,BENDA SANITÄRTECHNIK GMBH,1
BENEDIKT STARK,BENEDIKT STARK,1
BENNERSCHEIDT HEIZTECHNIK GMBH & CO. KG,BENNERSCHEIDT HEIZTECHNIK GMBH & CO. KG,1
BENNO HAHN ZENTRALHEIZUNG- & LÜFTUNGSBAU,BENNO HAHN ZENTRALHEIZUNG- & LÜFTUNGSBAU,1
BENSBERG GMBH,BENSBERG GMBH,1
BENZ GMBH & CO. KG BAUSTOFFE,BENZ GMBH & CO. KG BAUSTOFFE,1
BERGE-SANTEC,BERGE-SANTEC,1
BERGER & CO. GMBH,BERGER & CO. GMBH,1
BERKAU HEIZUNGSBAU GMBH,BERKAU HEIZUNGSBAU GMBH,1
BERLINER WASSERBETRIEBE,BERLINER WASSERBETRIEBE,1
BERMANSEDER GMBH,BERMANSEDER GMBH,1
BERND EICHLER,BERND EICHLER,1
BERND ELVERT - HEIZUNG-SANITÄR-ELEKTRO GMBH,BERND ELVERT - HEIZUNG-SANITÄR-ELEKTRO GMBH,1
BERND FIEDLER SANITÄR-HEIZUNG-FLASCHNEREI,BERND FIEDLER SANITÄR-HEIZUNG-FLASCHNEREI,1
BERND MUHLE GMBH,BERND MUHLE GMBH,1
BERND THUMM,BERND THUMM,1
BERND WRIGGERS,BERND WRIGGERS,1
BERNHARD STRICKER GMBH & CO KG,BERNHARD STRICKER GMBH & CO KG,1
BERNHARD ZEICH KÄLTE- U. KLIMAANLAGENBAU,BERNHARD ZEICH KÄLTE- U. KLIMAANLAGENBAU,1
BERTSCHE GMBH,BERTSCHE GMBH,1
BESLER + BARTH GMBH,BESLER + BARTH GMBH,1
BESLMÜLLER & BOEDDEKER PROJEKT GMBH,BESLMÜLLER & BOEDDEKER PROJEKT GMBH,1
BEUTTLER HAUSTECHNIK,BEUTTLER HAUSTECHNIK,1
BFC GMBH,BFC GMBH,1
BHG BAUMATERIALIEN-HANDELSGESELLSCHAFT AG,BHG BAUMATERIALIEN-HANDELSGESELLSCHAFT AG,1
"BIERBAUM HEIZUNG, SANITÄR, ELEKTRO","BIERBAUM HEIZUNG, SANITÄR, ELEKTRO",1
BIERMANN & KRÄMER,BIERMANN & KRÄMER,1
